aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
clomifene	ESR1#P	RRS1#P|CDK19#P|DDR1#P|TPM1#P|PTGS2#P|IER3#P|PRSS23#P|HIST2H2BE#P|GATA2#P|FHL2#P|ADGRG1#P|PAICS#P|POLD4#P
levothyroxine	THRA#P|THRB#P	GNAI1#P
paclitaxel	TUBB1#P|BCL2#P|MAP4#P|MAP2#P|MAPT#P	KLHDC2#P|NOLC1#P|VAMP1#P|RELB#P|CHIC2#P|SEC62#P|NGRN#P|TMED10#P|LAMTOR3#P|DRAP1#P|DERA#P|INF2#P|CCNB2#P|CCNB1#P|PRR7#P|VPS72#P|CTSL#P|RRS1#P|ZMIZ1#P|CDK19#P|CAB39#P|YKT6#P|KLHL9#P|PSMB8#P|TXNDC9#P|LRPAP1#P|TIPARP#P|TSPAN6#P|FDFT1#P|PSMD2#P|CLTB#P|SNX11#P|HMG20B#P|CDK2#P|INPPL1#P|ATP6V1D#P|ITGB1BP1#P|BNIP3#P|BIRC5#P|HTATSF1#P|DNAJB1#P|FLII#P|B4GALT2#P|RALB#P|TM2D3#P|LYPLA1#P|TMEM97#P|C2CD5#P|RAP1GAP#P|GOLT1B#P|ISOC1#P|GABPB1#P|CNOT4#P|ARPP19#P|DNTTIP2#P|GAS2L1#P|GLOD4#P|DNAJB9#P|HPRT1#P|AKT1#P|AKR7A2#P|SRP54#P|PIGC#P|PSMB6#P|CPNE3#P|CHEK2#P|ATP1B1#P|TPM1#P|EBNA1BP2#P|NRIP1#P|BET1#P|PSMD9#P|REEP5#P|PTGS2#P|TM9SF2#P|G3BP1#P|TRAPPC3#P|IGF1R#P|GSPT2#P|HNRNPM#P|PXN#P|NMT1#P|UBE2A#P|DUS1L#P|RNMT#P|CRYZ#P|ABCC5#P|MAD2L1#P|FBXO7#P|NCLN#P|CRTAP#P|HOOK2#P|DCK#P|EAPP#P|POT1#P|PEX11B#P|STAT1#P|DNAL4#P|MELK#P|DHX30#P|CCDC86#P|FOSL1#P|SCP2#P|KTN1#P|MCM6#P|HARS#P|TOP2A#P|CDK1#P|KCTD5#P|NR2F6#P|CASP10#P|HACD3#P|PLOD3#P|UBE2C#P|ELOVL6#P|LSM7#P|LRRC41#P|SLC25A4#P|TCEA2#P|TPD52L2#P|MICALL2#P|KEAP1#P|CDCA4#P|PNP#P|GATA3#P|NUP88#P|SPG21#P|TOPBP1#P|HIST2H2BE#P|PSRC1#P|B4GAT1#P|TUBB6#P|NET1#P|KIF11#P|GATA2#P|USP1#P|SACM1L#P|STUB1#P|HES1#P|CHERP#P|TUBA4A#P|ENOPH1#P|SENP6#P|DDX10#P|BACE2#P|MYBL2#P|MAST2#P|PPIC#P|PHKG2#P|PSMC5#P|AXIN1#P|POLR2C#P|ATP6V0B#P|CLSTN1#P|PSMD4#P|HSPB1#P|TCERG1#P|NUSAP1#P|HOMER2#P|TSPAN4#P|KIF20A#P|DNAJB6#P|CCNF#P|NISCH#P|DCTD#P|ATF6#P|CDR2L#P|FOXJ3#P|HSD17B10#P|DUSP11#P|SOX4#P|NNT#P|GNPDA1#P|CDC20#P|IFRD2#P|SPDEF#P|AURKA#P|BRD8#P|HNRNPH1#P|PRR15L#P|ELAC2#P|MTHFD2#P|GLRX#P|UBR7#P|XBP1#P|CDA#P|PSMD10#P|PUM2#P|STK25#P|PCNA#P|PYCR1#P|TP53BP2#P|HADH#P|PANK3#P|JMJD6#P|TRAPPC4#P|DTL#P|CFLAR#P|TENM4#P|TINF2#P|TBC1D9B#P|HSPA1A#P|NUP93#P|MPC2#P|FIS1#P|MCTS1#P|RABEP2#P|MAPKAPK3#P|ADH5#P|SLTM#P|WDR77#P|TOMM40#P|NSL1#P
pravastatin	HMGCR#P	ADI1#P|CASP10#P|EGF#P|RBM34#P|NFKBIE#P|NFATC4#P
cytarabine	POLB#P	PTGS2#P|ADRB2#P
adapalene	RARG#P|RARB#P|RXRG#P|RXRB#P|PTGS2#P	LAMA3#P|KLHDC2#P|E2F2#P|SQSTM1#P|BAG3#P|TSC22D3#P|ATP1B1#P|VAV3#P|SMAD3#P|PRSS23#P|SKAP2#P|HOXA5#P|HOXA4#P|CREB1#P|TUBB6#P|BACE2#P|BAMBI#P|BLCAP#P|PCMT1#P|SNAP25#P|NPC1#P|MYC#P|TSPAN4#P|NRIP1#P|ST6GALNAC2#P|HEBP1#P
lorazepam	GABRA1#P	IL1B#P|SIRT3#P
glipizide	ABCC8#P	SNAP25#P|SPP1#P|DNAJA3#P
pomalidomide	CRBN#P|TNF#P|PTGS2#P	PTGS2#P|SIRT3#P
cisapride	HTR4#P|HTR3A#P|HTR2A#P	SNAP25#P
valdecoxib	PTGS2#P	SIRT3#P
fluorometholone	NR3C1#P	SNAP25#P|PNKP#P|NTS#P
doxazosin	ADRA1A#P|ADRA1B#P|ADRA1D#P	CASP10#P|CPVL#P
rimonabant	CNR1#P	E2F2#P|SPP1#P|NTS#P|SNAP25#P|SIRT3#P|CXCL2#P
vardenafil	PDE5A#P	SNAP25#P|ADRB2#P
guanadrel	SLC6A2#P	PNKP#P|GNAI1#P|SIRT3#P
mestranol	ESR1#P	IER3#P
emedastine	HRH1#P	SPP1#P|PTGS2#P|ADRB2#P
gemcitabine	RRM1#P	MRPL19#P|NOLC1#P|TMEM2#P|BHLHE40#P|ERBB2#P|MYC#P|E2F2#P|TP53I3#P|KAT6B#P|ACKR3#P|CCNB2#P|RPIA#P|CCNB1#P|IFI27#P|CDH3#P|FAS#P|RRS1#P|XPC#P|ATG3#P|YKT6#P|CCNA2#P|DLGAP5#P|SSH3#P|P4HA2#P|MCM3#P|SFN#P|DKC1#P|LRPAP1#P|SLC2A10#P|DBF4#P|TSC22D3#P|ST6GALNAC2#P|TIMM9#P|CLTB#P|RRP15#P|HMG20B#P|DUSP3#P|KIF14#P|ATP6V1D#P|THBS3#P|BIRC5#P|GPR87#P|WDR74#P|DNAJB1#P|RALB#P|RAP1GAP#P|RUVBL1#P|INPP1#P|RPS27L#P|GABPB1#P|MBNL2#P|INPP4B#P|DUSP22#P|POLR3G#P|PPP2R3C#P|ZMAT3#P|SESN1#P|DDIT4#P|DENND2D#P|TRAPPC6A#P|HMOX1#P|ATP1B1#P|CDKN1A#P|EIF5#P|KIF4A#P|HIST1H2BK#P|EPRS#P|PARP2#P|LBR#P|ECH1#P|MAN2B1#P|SMAD3#P|PHLDA3#P|MAD2L1#P|LRP10#P|EPHA2#P|MRPL12#P|BAX#P|ASNS#P|PLK3#P|CCDC86#P|FOSL1#P|UTP14A#P|ASCC3#P|ANXA7#P|SMC4#P|TOP2A#P|HSPA8#P|CDK1#P|MTERF3#P|UBE2C#P|ELOVL6#P|CHN1#P|CDCA4#P|GATA3#P|NUP88#P|DDB2#P|PWP1#P|PSRC1#P|TRA2B#P|BTG2#P|TUBB6#P|GARS#P|PDGFA#P|FHL2#P|USP1#P|SACM1L#P|PDLIM1#P|ENOPH1#P|DDX10#P|HDAC2#P|SSRP1#P|ORAI3#P|PPIC#P|BAMBI#P|PAICS#P|TRIM22#P|BLCAP#P|TCERG1#P|NUSAP1#P|KIF20A#P|GRN#P|NPEPL1#P|PSMG1#P|GAA#P|LOXL1#P|PYGL#P|LSM6#P|PCMT1#P|USP7#P|CYCS#P|POLD4#P|CDC20#P|IFRD2#P|MAT2A#P|SPDEF#P|IER5#P|AURKA#P|RFX5#P|TSEN2#P|EZH2#P|FDXR#P|ABHD4#P|ABCE1#P|DUSP14#P|PYCR1#P|JMJD6#P|BCL2#P|PDSS1#P|HMBS#P|CCDC92#P|TPX2#P|TSPAN1#P|ALDH7A1#P|TNFRSF10B#P|KIF15#P|LIPA#P|UBE2A#P|ST7#P|SMC1A#P|PLSCR3#P|MRTO4#P|SPP1#P|HMMR#P|AEN#P
milnacipran	SLC6A4#P|SLC6A2#P	ADRB2#P
carfilzomib	PSMB5#P|PSMB8#P|PSMB1#P|PSMB9#P|PSMB2#P|PSMB10#P	NUP85#P|SNX6#P|SNRNP25#P|MCM7#P|FOXM1#P|ZMYM6#P|S100A13#P|GGCT#P|PTMA#P|SH2D3A#P|CCNB2#P|NDUFS3#P|TES#P|MLPH#P|MKNK1#P|SLC7A11#P|SFN#P|LIG1#P|STK4#P|CDK3#P|SPSB1#P|ECHS1#P|HMG20B#P|ACOT9#P|PGAM1#P|WIPI1#P|HEBP1#P|PSIP1#P|SLC26A6#P|DNAJA3#P|TGFB3#P|MTCH2#P|C7orf43#P|TRIB1#P|UBE3C#P|SRP14#P|NDEL1#P|HPRT1#P|SNRPD3#P|BUB1#P|SLC27A3#P|FAM111A#P|CCP110#P|CEMIP#P|NRIP1#P|PRKCB#P|ALAS1#P|EIF5#P|HIST1H2BK#P|PTGS2#P|PARP2#P|G3BP1#P|IL11#P|ANKRD36#P|WNT11#P|IER3#P|MAN2B1#P|OSBPL2#P|DNAJC28#P|MAD2L1#P|LRP10#P|JADE2#P|DIS3#P|MELK#P|MYO10#P|FOSL1#P|PSEN1#P|NFE2L2#P|CDC25B#P|SLC12A6#P|AKAP8L#P|TXNRD1#P|CCDC130#P|UBXN4#P|MTERF3#P|NDUFC1#P|PSAP#P|LMBR1L#P|TERF2IP#P|RASAL2#P|CENPF#P|HMGN2#P|IFRD1#P|ZNF391#P|USP1#P|STUB1#P|TYMS#P|TPGS2#P|DGKB#P|CKS1B#P|SEC61A2#P|PCGF1#P|RNASEH2A#P|MAFG#P|NFIL3#P|CENPT#P|SUPT16H#P|CHAF1B#P|TSPAN4#P|KIF20A#P|NUP62#P|DNM1L#P|HMGB1#P|RACGAP1#P|LAMB3#P|CDK4#P|CLK3#P|ESR1#P|SERINC1#P|NME4#P|RRP12#P|PBK#P|GLRX#P|PPDPF#P|EZH2#P|CCR3#P|CD320#P|SCAND1#P|TCFL5#P|XBP1#P|AGO2#P|KLC1#P|SMC2#P|ZNF223#P|HADH#P|POLR2K#P|TRAPPC4#P|KLHL24#P|MPC2#P|LSM4#P|SUCLG2#P|GINS2#P|TRPM6#P|VPS39#P|MSH6#P|RELB#P|PGPEP1#P|KCTD13#P|ANKRD11#P|TMPO#P|TPX2#P|RFC2#P|GOLGB1#P|SUV39H1#P|ADGRE5#P|PRR7#P|SIN3B#P|YKT6#P|SLC9A3R1#P|CCNA2#P|SMURF1#P|KCNK1#P|MAP7#P|P4HA2#P|MCM3#P|IGHMBP2#P|CENPA#P|CTDSP1#P|PAQR4#P|TSC22D3#P|PSMD2#P|TWF2#P|GMNN#P|TCEAL4#P|POLD2#P|LGALS8#P|BNIP3#P|WRB#P|DNAJB1#P|PPP1R15A#P|RGCC#P|TUBB4A#P|MIF#P|ADAM17#P|PMAIP1#P|CTH#P|SLC37A4#P|KCMF1#P|PLEKHO2#P|ATF5#P|ENOSF1#P|ISOC1#P|POP7#P|TMEM106C#P|TMEM109#P|LSM2#P|TXNL4B#P|AKR7A2#P|CENPU#P|HGS#P|HMOX1#P|LRP8#P|CHEK2#P|HMGB3#P|ATP2C1#P|HDAC5#P|RAB27A#P|RMND1#P|KIAA0319#P|IARS2#P|TULP2#P|PRPF4#P|CNDP2#P|PRSS23#P|DCXR#P|DCK#P|MRPL12#P|ZNF143#P|SMC1A#P|RBM6#P|FAM117A#P|CCDC186#P|ZNF557#P|SOS1#P|SMC4#P|TOP2A#P|HSPA8#P|GPATCH2L#P|HMGB2#P|NR2F6#P|NUP37#P|RFC4#P|TP53#P|RNF25#P|TPD52L2#P|CDCA4#P|GPR161#P|ATG4A#P|PDHX#P|HIST2H2BE#P|ESRP2#P|PSRC1#P|LAGE3#P|CA5BP1#P|NET1#P|KIF11#P|ZNF235#P|VRK1#P|JUN#P|TTBK2#P|PAICS#P|POLA1#P|FXR1#P|PRSS21#P|SUGP1#P|GOSR2#P|RFC5#P|CCNF#P|MCM5#P|H2AFZ#P|PTTG1#P|ARID5A#P|HJURP#P|NAA11#P|B4GALNT1#P|C16orf45#P|DMRT1#P|NUCKS1#P|CTAGE9#P|MBNL1#P|PEX5L#P|GNAS#P|ULK1#P|MTHFD2#P|ICMT#P|POLR2G#P|B3GALNT1#P|NR2C2#P|H2AFX#P|NCAPG2#P|ABCD3#P|IL21R#P|AP5Z1#P|STX1A#P|SEPHS1#P|NCF2#P|ZNF7#P|CDKL3#P|BHLHE40#P|ZNF225#P|SPAG9#P|HCFC2#P|CWC25#P|BSDC1#P|PXMP2#P|ITGB1#P|IGF2R#P|HERPUD1#P|HSPA6#P|SQSTM1#P|RPIA#P|TMC7#P|DLGAP5#P|FANCI#P|HNRNPD#P|STMN1#P|LSM3#P|COL11A1#P|CYLD#P|ARMT1#P|KIF14#P|NPLOC4#P|UNG#P|SYNE2#P|INHBA#P|RSF1#P|DNAJC9#P|IRGQ#P|DHDDS#P|C2CD5#P|EGFR#P|HBP1#P|TACC3#P|RRM2#P|ITSN2#P|BRAP#P|GLOD4#P|ARL6IP4#P|TK1#P|TFF3#P|AKT1#P|PPARG#P|ZWINT#P|KIF18B#P|PRC1#P|CDKN1A#P|IL15RA#P|MPP3#P|APBB2#P|GABARAPL1#P|POLR3K#P|DNAJB2#P|GFPT1#P|NDRG1#P|TRMT5#P|GRB10#P|DSTYK#P|CD58#P|DDIT3#P|GRIK1#P|NXPE4#P|OLR1#P|TRIP13#P|PLK3#P|RGS2#P|SRGN#P|TTC4#P|SIVA1#P|PCCB#P|COQ2#P|AURKB#P|CIRBP#P|ELOVL6#P|IMP3#P|KDM6B#P|GATA3#P|HIST1H2BD#P|OXCT1#P|DHFR#P|GADD45A#P|BAMBI#P|RFC3#P|ADGRE2#P|MAU2#P|ADI1#P|PGRMC1#P|G3BP2#P|POLB#P|BARD1#P|ASF1B#P|TBL2#P|NAA35#P|PSMG1#P|MAP1LC3B#P|PYGL#P|RMI1#P|CYCS#P|AKAP17A#P|CDCA3#P|LSM5#P|IL1B#P|SPDEF#P|IER5#P|WDR33#P|AURKA#P|DCLRE1B#P|EDEM1#P|PPA2#P|ZNF254#P|ABHD4#P|SIRT3#P|TIMELESS#P|MCCC2#P|ASB7#P|PRPH2#P|CDK7#P|TMEM39A#P|LRRC8E#P|RLF#P|MICALL1#P|HSPA1A#P|METRN#P|DUT#P|MYC#P|LIN37#P|GON4L#P|UFM1#P|RB1CC1#P|CDK8#P|ARHGEF2#P|CCNB1#P|C1orf109#P|CTSL#P|RRS1#P|ZNF394#P|CSRNP2#P|SH2D2A#P|FNDC3B#P|HSPB3#P|KDM3A#P|LMNB1#P|CLTB#P|CBX5#P|DHRS7#P|ATP6V1D#P|PRCP#P|BIRC5#P|CASP7#P|MCM4#P|IL4R#P|COA3#P|YPEL5#P|FKBP14#P|GPATCH1#P|DECR1#P|MYCBP#P|NPY1R#P|IPO9#P|TLK2#P|LYPLA1#P|TMEM97#P|MIER2#P|FEN1#P|ZRSR2#P|DNTTIP2#P|CDKN3#P|DNAJB9#P|DDIT4#P|KIF4A#P|MRPS16#P|ZKSCAN5#P|MZT2A#P|PRPS2#P|BRAF#P|KCNN4#P|PPME1#P|CASP3#P|MTHFD1#P|MRPS34#P|YRDC#P|SNRPE#P|SLC35A1#P|GID4#P|KLHDC10#P|MCM6#P|CDK1#P|KCTD5#P|TMEM87A#P|MCM2#P|PSME1#P|UBE2C#P|CHN1#P|POFUT2#P|DDB2#P|SKP2#P|LYPD3#P|CYP4F11#P|B4GAT1#P|RAD51C#P|CHAC1#P|PRIM1#P|NCAPH#P|ZNF277#P|OXA1L#P|MYBL2#P|PLAA#P|NABP1#P|NUDT1#P|ALOXE3#P|ERO1B#P|NDUFA7#P|RPA3#P|MRPL16#P|ZKSCAN8#P|HSPA1L#P|UQCRQ#P|ZNF212#P|NR2F2#P|NUSAP1#P|HNRNPF#P|DNAJB6#P|TP53TG1#P|PPT2#P|CTSD#P|NIPSNAP1#P|SYPL1#P|DPAGT1#P|DTYMK#P|PLCB3#P|LSM6#P|TSPYL2#P|PCMT1#P|AGR2#P|CDC20#P|YES1#P|SLC3A2#P|CD55#P|ARHGAP1#P|MAT2A#P|POLE2#P|GCC1#P|MOCS1#P|BACH1#P|HIST1H2BH#P|UBR7#P|NPC1#P|UQCR10#P|EED#P|TIMM17B#P|PCNA#P|HMMR#P|JMJD6#P|DTL#P|GINS1#P|MIR22HG#P|SPP1#P|GCLM#P|PDLIM1#P|EBP#P|TRAPPC3#P|KAT6B#P|FDFT1#P|CKS2#P
metoprolol	ADRB1#P	CASP10#P|SNAP25#P|SPP1#P|PAN2#P
ixabepilone	TUBB3#P	CRELD2#P|MYC#P|TMED10#P|CCNB1#P|VPS72#P|CDK19#P|YKT6#P|TXNDC9#P|MCM3#P|TOMM34#P|TSPAN6#P|FDFT1#P|ATP6V1D#P|BNIP3#P|DNAJB1#P|POLR1C#P|TMEM97#P|C2CD5#P|CNOT4#P|GLOD4#P|HPRT1#P|AKT1#P|AKR7A2#P|CPNE3#P|TMEM159#P|CHEK2#P|ATP1B1#P|TPM1#P|EBNA1BP2#P|NRIP1#P|HIST1H2BK#P|TM9SF2#P|G3BP1#P|TRAPPC3#P|CLTC#P|IGF1R#P|IGF2BP2#P|UBE2A#P|RNMT#P|CNDP2#P|FBXO7#P|DCK#P|EAPP#P|STAT1#P|MELK#P|CDC25B#P|TOP2A#P|CDK1#P|AKAP8L#P|HACD3#P|UBE2C#P|ELOVL6#P|LRRC41#P|KEAP1#P|CDCA4#P|PNP#P|GATA3#P|NUP88#P|TOPBP1#P|HIST2H2BE#P|TUBB6#P|NET1#P|GATA2#P|USP1#P|PPIC#P|PHKG2#P|CLSTN1#P|NUSAP1#P|KIF20A#P|DNAJB6#P|ATF6#P|CDK4#P|SOX4#P|GNPDA1#P|CDC20#P|SNAP25#P|SPDEF#P|AURKA#P|MTHFD2#P|XBP1#P|PCNA#P|HADH#P|JMJD6#P|NUP93#P|FIS1#P|E2F2#P|PTGS2#P|IL1B#P
maraviroc	CCR5#P	PAN2#P|PTGS2#P
chlorphenamine	HRH1#P	PNKP#P|PTGS2#P
nebivolol	ADRB1#P	SPP1#P|SNAP25#P
nicotine	CHRNA4#P|CHRNB2#P	HMOX1#P
docetaxel	TUBB1#P|MAP2#P|MAP4#P|MAPT#P	STAT1#P|NOLC1#P|SLC37A4#P|TMEM97#P|C2CD5#P|ZNF131#P|CLSTN1#P|PSMD4#P|MELK#P|RAP1GAP#P|RELB#P|FOSL1#P|NUSAP1#P|GOLT1B#P|NGRN#P|KIF20A#P|DNAJB6#P|KTN1#P|TMED10#P|CCNF#P|LAMTOR3#P|FBXO21#P|ATF6#P|TOP2A#P|CANT1#P|CDK1#P|HPRT1#P|AKT1#P|KCTD5#P|CCNB2#P|AKR7A2#P|CCNB1#P|VPS72#P|CPNE3#P|NPAT#P|RRS1#P|CLASRP#P|HACD3#P|FOXJ3#P|CHEK2#P|YKT6#P|UBE2C#P|KLHL9#P|ELOVL6#P|LRRC41#P|BECN1#P|HSD17B10#P|ATP1B1#P|DUSP11#P|SOX4#P|TXNDC9#P|WDTC1#P|TPM1#P|KEAP1#P|TOMM34#P|EBNA1BP2#P|GNPDA1#P|NRIP1#P|CDC20#P|CDCA4#P|PNP#P|LRPAP1#P|POLR2C#P|SNAP25#P|GATA3#P|TBX2#P|NUP88#P|SPP1#P|TSPAN6#P|SPDEF#P|FDFT1#P|AURKA#P|TOPBP1#P|HIST2H2BE#P|TM9SF2#P|G3BP1#P|PSRC1#P|TRAPPC3#P|TSEN2#P|XPO7#P|MTHFD2#P|XIST#P|PSMD2#P|TUBB6#P|IGF1R#P|UBR7#P|HMG20B#P|NET1#P|CDK2#P|PDIA5#P|GATA2#P|PAN2#P|XBP1#P|NMT1#P|USP1#P|SACM1L#P|UBE2A#P|RNMT#P|PCNA#P|HES1#P|ATP6V1D#P|CNDP2#P|ITGB1BP1#P|BNIP3#P|MYBL2#P|HADH#P|DNAJB1#P|JMJD6#P|ADRB2#P|TRAPPC4#P|DTL#P|B4GALT2#P|RALB#P|CRTAP#P|HSPA1A#P|NUP93#P|DCK#P|COG7#P|AXIN1#P|MPC2#P|EAPP#P|FIS1#P|DRAP1#P|PSMD9#P|NCLN#P|CHERP#P|STX1A#P
pramipexole	DRD3#P|DRD2#P|DRD4#P	SPP1#P|SNAP25#P
tizanidine	ADRA2B#P|ADRA2C#P	IL1B#P|PTGS2#P|DNAJA3#P|NFATC4#P|STAT3#P
cabazitaxel	TUBA4A#P|TUBB1#P	STAT1#P|NOLC1#P|CRELD2#P|TMEM97#P|C2CD5#P|MELK#P|RAP1GAP#P|RELB#P|NUSAP1#P|KIF20A#P|DNAJB6#P|TMED10#P|CCNF#P|RPS4Y1#P|TOP2A#P|GLOD4#P|CDK1#P|HPRT1#P|AKT1#P|AKR7A2#P|CCNB1#P|VPS72#P|CPNE3#P|HGS#P|RRS1#P|CDK19#P|FOXJ3#P|CHEK2#P|YKT6#P|UBE2C#P|ELOVL6#P|LRRC41#P|PTPRK#P|ATP1B1#P|TXNDC9#P|NNT#P|CUL4B#P|KEAP1#P|MCM3#P|TPM1#P|EBNA1BP2#P|GNPDA1#P|NRIP1#P|CDC20#P|CDCA4#P|PNP#P|SNAP25#P|GATA3#P|NUP88#P|TSPAN6#P|SPDEF#P|FDFT1#P|AURKA#P|TOPBP1#P|HIST2H2BE#P|TM9SF2#P|G3BP1#P|MTHFD2#P|XIST#P|CLTC#P|TUBB6#P|AP3D1#P|IGF1R#P|UBR7#P|SIRT3#P|SNX11#P|HMG20B#P|NET1#P|GATA2#P|XBP1#P|PSMD10#P|IARS2#P|USP1#P|UBE2A#P|RNMT#P|PCNA#P|CNDP2#P|ITGB1BP1#P|BNIP3#P|BACE2#P|HEBP1#P|STX1A#P|HADH#P|DNAJB1#P|JMJD6#P|PPIC#P|FLII#P|DTL#P|CRTAP#P|HSPA1A#P|DCK#P|MPC2#P|EAPP#P|FIS1#P|SLC37A4#P|CDC25B#P|ATF6#P|WDR77#P|CIRBP#P|ARHGAP1#P|PSRC1#P|TRAPPC3#P|SACM1L#P|FBXO7#P|AXIN1#P
minoxidil	KCNJ1#P	PNKP#P|NFATC4#P
moclobemide	MAOA#P	CASP10#P|IL1B#P|DNAJA3#P
esmolol	ADRB1#P	E2F2#P|CASP10#P|NTRK2#P|WIF1#P|MYLK#P|CXCL2#P|TLR4#P|PTGS2#P
labetalol	ADRB1#P|ADRB2#P|ADRA1A#P	SNAP25#P|SPP1#P|IL1B#P|DNAJA3#P|RBM34#P|SIRT3#P
colchicine	TUBB1#P|TUBB#P	TMED10#P|DRAP1#P|KAT6B#P|DERA#P|CCNB2#P|PRKCH#P|CCNB1#P|PRR7#P|VPS72#P|RPA2#P|ZMIZ1#P|YKT6#P|KLHL9#P|DUSP4#P|KCNK1#P|PSMB8#P|TXNDC9#P|MCM3#P|TSPAN6#P|MTA1#P|HMG20B#P|CDK2#P|DUSP3#P|ATP6V1D#P|BNIP3#P|HEBP1#P|HMGCS1#P|WRB#P|DNAJB1#P|RALB#P|TMEM97#P|C2CD5#P|RAP1GAP#P|ISOC1#P|GABPB1#P|DNTTIP2#P|AKT1#P|STXBP2#P|AKR7A2#P|CPNE3#P|NFKBIA#P|ATP1B1#P|TPM1#P|EBNA1BP2#P|NRIP1#P|EIF5#P|HIST1H2BK#P|REEP5#P|TM9SF2#P|G3BP1#P|RAD51AP1#P|TRAPPC3#P|VAV3#P|ILK#P|LBR#P|CLTC#P|UBE2A#P|RNMT#P|SMAD3#P|IGFBP3#P|CRTAP#P|EAPP#P|PEX11B#P|STAT1#P|BCL7B#P|MELK#P|CCDC86#P|FOSL1#P|SCP2#P|KTN1#P|CEP57#P|TOP2A#P|PEG10#P|HOXA5#P|CDK1#P|KCTD5#P|TXNRD1#P|CASP10#P|PLOD3#P|UBE2C#P|KEAP1#P|CDCA4#P|PNP#P|GATA3#P|HIST2H2BE#P|B4GAT1#P|NET1#P|KIF11#P|GATA2#P|SACM1L#P|CHERP#P|CTNNAL1#P|SENP6#P|MYBL2#P|MAPKAPK2#P|MAST2#P|AXIN1#P|CLSTN1#P|HSPB1#P|RFC5#P|NUSAP1#P|KIF20A#P|SLC35F2#P|DNAJB6#P|CCNF#P|DNM1L#P|BZW2#P|CRNKL1#P|FOXJ3#P|GNPDA1#P|CDC20#P|AURKA#P|PRR15L#P|MTHFD2#P|GLRX#P|UBR7#P|NPC1#P|EED#P|XBP1#P|PCNA#P|STX1A#P|HADH#P|JMJD6#P|GADD45B#P|DTL#P|HSPA1A#P|MPC2#P|FIS1#P|DUSP11#P
biperiden	CHRNA2#P|CHRM1#P	IGFBP3#P
ticlopidine	P2RY12#P	RAC2#P|SNAP25#P|MYLK#P|PSMB8#P
famotidine	HRH2#P	DNAJA3#P
drospirenone	PGR#P|NR3C2#P|AR#P	EGF#P|RBM34#P|IL1B#P|DNAJA3#P
pimozide	DRD2#P|DRD3#P|KCNH2#P	SNAP25#P
adenosine	ADORA2A#P|ADORA2B#P|ADORA3#P|ADORA1#P	SNAP25#P|PTGS2#P|EGF#P|RBM34#P
bupivacaine	SCN10A#P	PSMB8#P|MMP1#P|CASP10#P
acarbose	MGAM#P|AMY2A#P|GAA#P|SI#P	NFKB2#P|BMP4#P
diphenidol	CHRM1#P|CHRM3#P|CHRM2#P	IL1B#P|MYLK#P|DNAJA3#P
histamine	HRH1#P|HRH2#P|HRH3#P	GLI2#P|PRKCQ#P|STAT3#P
amoxapine	SLC6A4#P	PEG10#P|MAL#P|PRKCH#P|HLA-DRA#P|SNAP25#P|NUDT9#P|MMP1#P|GNA15#P
minaprine	MAOA#P|HTR2B#P|HTR2A#P|HTR2C#P|ACHE#P	PSMB8#P
caffeine	ADORA1#P|ADORA2A#P	APOE#P|MYLK#P|RBM34#P
celecoxib	PTGS2#P	PEG10#P|SNAP25#P|IL1B#P|DNAJA3#P|GNA15#P|NFATC4#P
lofexidine	ADRA2A#P	APOE#P|NOS3#P|RBM34#P|NFATC4#P
levosimendan	TNNC1#P|KCNJ11#P|KCNJ8#P	HLA-DRA#P|MAPK13#P|NFATC4#P
