aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
acebutolol	ADRB1#P	IKZF1#P|CRK#P|UGDH#P
ziprasidone	DRD2#P|HTR2A#P	MAP7#P
topiramate	GABRA1#P|SCN1A#P|GRIK1#P|CA2#P|CA4#P|GABRA1#P	RPS4Y1#P
disopyramide	SCN5A#P	PCNA#P
timolol	ADRB1#P|ADRB2#P	PCNA#P|CRIP1#P
torasemide	SLC12A1#P	PCNA#P|XIST#P|RPS4Y1#P|CRIP1#P|MAP7#P
papaverine	PDE4B#P	HSPA8#P|ZNF586#P
oxymetazoline	ADRA1A#P|ADRA2A#P	E2F2#P|UGDH#P
diazepam	GABRA1#P|GABRA2#P|GABRA3#P|GABRA5#P|GABRB1#P|GABRB2#P|GABRB3#P|GABRG1#P|GABRG2#P|GABRG3#P|GABRD#P|GABRE#P|GABRP#P|GABRR1#P|GABRR2#P|GABRR3#P|GABRQ#P|GABRA1#P	VDAC1#P|UGDH#P|RBM34#P
ibuprofen	PTGS2#P|PTGS1#P	GNAI1#P
lenalidomide	CRBN#P|TNFSF11#P	GNAI1#P|MOK#P
mephentermine	ADRA1A#P	CRK#P
estriol	ESR1#P	PRSS23#P|ZNF586#P
fluoxetine	SLC6A4#P	UGDH#P|MAPKAPK5#P|USP7#P
levobunolol	ADRB2#P|ADRB1#P	CRK#P|YME1L1#P|SRC#P|TXNDC9#P|CDCA4#P
rimexolone	NR3C1#P	CRK#P
primidone	GABRA1#P|GABRA2#P|GABRA3#P|GABRA4#P|GABRA5#P|GABRA6#P|GABRA1#P	MOK#P|HSPA8#P|RBM34#P|MYLK#P|IDE#P
disulfiram	ALDH2#P|DBH#P	LSM5#P|CCNB1#P
azathioprine	HPRT1#P	VDAC1#P
dextromethorphan	SIGMAR1#P|GRIN3A#P	RPS4Y1#P|SCYL3#P
sotalol	KCNH2#P|ADRB1#P|ADRB2#P	RPS4Y1#P
levocabastine	HRH1#P|NTSR2#P	PLA2G4A#P
metixene	CHRM1#P|CHRM4#P|CHRM5#P	LSM5#P|IDE#P
suprofen	PTGS1#P|PTGS2#P	SNAP25#P|PPARG#P|SRC#P
clofarabine	POLA1#P|RRM1#P	PLK1#P|CCNB2#P|FAS#P|DUSP4#P|TXNDC9#P|POLR2I#P|TOR1A#P|KIF14#P|ASPM#P|GABPB1#P|ATP1B1#P|EIF5#P|HIST1H2BK#P|MELK#P|CCDC86#P|VGLL4#P|CENPF#P|PSRC1#P|TUBB6#P|DDX10#P|KIF20A#P|USP7#P|CDC20#P|AURKA#P|RFX5#P|PRR15L#P|HMMR#P|IFRD2#P
methylnaltrexone	OPRM1#P	MYLK#P
